,CURB65评分,重度肺炎,性别,年龄,共存基础病数量,吸烟史,饮酒史,高血压病,糖尿病,脑梗死,冠心病,体温＞37℃,呼吸频率＞20次/分,心率＞100次/分,收缩压＜90mmHg,纵隔淋巴结肿大,胸膜增厚,胸腔积液,心包积液,炎症累及肺炎数≥3,炎症累计双肺,WBC,PLT,HGB,MONO,NEUT,PLR,NLR,RDW,FIB,DDimer,AG,ALB,hsCRP,PCT,Cr,BUN,UA,GFR,Cysc
CURB65评分,1.0,0.5550539998480354,0.0771178948973352,0.5579908297550237,0.1312237619663622,0.012770362515389762,-0.08232949458989493,0.0341558338229676,0.12871928279342673,0.026679747028436784,0.04949558849409096,0.024232570612708056,0.1648763189308457,0.042893514149609575,0.3441735775525038,0.1427672229514883,0.1392075685734177,0.10535133107082298,0.049712259230093446,0.295101664049835,0.08655239807323371,0.18273779546304128,-0.0019077398876813333,-0.006336091477746629,0.07488697505287838,0.17145421377622913,0.3568283787220009,0.28540141924703777,0.4081653872199425,-0.04794416942857573,0.3973240280295693,-0.17397607167073098,-0.20578087270706333,0.310804231904651,0.4102338577140474,-0.11179309695979137,-0.014729748895725548,0.038152181797024745,0.02308859331626642,0.12950151252494568
重度肺炎,0.5550539998480354,1.0,0.0549137726051824,0.07651024242254766,0.15994440963256296,0.09783312745491571,0.07363716420956488,0.042877518407844366,0.10282979096275499,0.038236171620751255,0.11127586485003974,0.041765738507374535,0.1619081347878399,0.12041327425936277,0.302099427711609,0.08386386200832524,0.09303374678187835,0.08587764142510028,0.036338469306953954,0.4700466381647041,0.04868044889749448,0.31937920420947213,0.05986823506107655,-0.11358885640664888,0.10157285753368074,0.3299762269223567,0.522976900287916,0.472564045361191,0.5228578315975889,0.09979813993510367,0.5432250060639081,-0.34795343170014,-0.3944360916835555,0.5563786244452723,0.6587689762463281,0.05534013231236111,0.10569799627362961,0.09882202751086924,-0.0591782651152615,0.09842153597026092
性别,0.0771178948973352,0.0549137726051824,1.0,0.047481556919684254,0.06597363464209838,0.5087095122174387,0.20921521202605461,0.097667581343586,0.0371659466970502,-0.00907645941034842,0.007897375881644715,0.010268177200453225,0.12087214835621844,0.04838803434520411,0.02095116731761599,-0.00304197230849799,0.1044968717027922,0.017235625870177382,0.05519227248349594,-0.013519452069843205,-0.01867185481836726,0.014207452414679692,-0.02831202054534571,-0.026447680492999327,0.053864308041395595,0.060524566008334266,0.08342277308839566,0.10923545222821222,0.008484576096193587,0.07900196037578096,0.05521880283468576,-0.06964112156384795,-0.09284517790052534,0.10236651611602547,0.11522387630598219,0.02857111646855597,0.05084599471954197,0.0583914577841667,0.21436086454204392,-0.006765534788751405
年龄,0.5579908297550237,0.07651024242254766,0.047481556919684254,1.0,0.14755497388018687,0.009641111894502681,-0.14709674450061608,0.15931530588011225,0.049037429910418,-0.029255595182907965,0.10861364790797172,-0.01584626512692827,-0.07985022596374994,-0.07422310326619797,0.0218853320912539,0.07366066415241937,0.17716697092047978,0.06162327285949729,-0.02965227982250417,0.07478821152263684,0.08263205129145484,0.045182352200213466,-0.0046780211056676735,-0.0065494506822145636,0.033332562643383724,0.06087455496322326,0.053442459188857795,0.07961483572903269,0.08394382495058468,-0.1216147226024793,0.10430588192982175,0.001606597626645123,0.007816538391776809,0.004796474815745088,0.10084724741156424,-0.3008661360042849,-0.12083978755227763,-0.0501914337156241,0.0729462591858444,-0.0033504968858709024
共存基础病数量,0.1312237619663622,0.15994440963256296,0.06597363464209838,0.14755497388018687,1.0,0.10306173566288107,0.07314701741762519,0.5155087392937135,0.6606235252789441,0.44112025424071644,0.41490213020920386,0.10890904268366795,0.06646597634760651,-0.09205828077707412,0.12387534827858189,-0.04332670435350675,-0.06799164638198582,0.020852443363380584,0.011056281172004552,0.15448195247921176,0.009523259916695084,0.09372902665210604,-0.03253080510812188,0.0011482168822388302,0.10134606960494426,0.06594942880172006,-0.02560848117807699,0.035792575693348205,0.06171181656905857,0.0012636541707301578,0.11711180347399966,-0.09084842088412118,-0.03295032858458008,0.03559741961188306,0.06635732386987378,-0.20047676463654243,-0.17915202953429238,-0.04552062291635023,0.1820195621682504,-0.1446194436199518
吸烟史,0.012770362515389762,0.09783312745491571,0.5087095122174387,0.009641111894502681,0.10306173566288107,1.0,0.3597126603307431,0.14727808303506557,-0.009213600138431742,0.026133397570896128,0.061920583207999993,-0.009325169955757745,0.04474144573581087,0.03483550751805084,0.029817775091786108,0.047675463743817176,0.0990581340681725,0.013403057409958029,0.01722193193146699,0.03770038857158672,-0.014519921931816816,0.029219150145634015,0.014148819574068525,0.038563893899145704,-0.06546222974053943,0.10990461054563942,0.09380831842341429,0.1287685984633692,0.035787975278046724,0.11252260618199138,0.09586329903548443,-0.0846952097045475,-0.021940546103260822,0.1840293842505721,0.13682094951930024,0.11180203125735286,0.039267216351432585,0.07279205273611432,-0.006920327343287088,-0.15353053642164677
饮酒史,-0.08232949458989493,0.07363716420956488,0.20921521202605461,-0.14709674450061608,0.07314701741762519,0.3597126603307431,1.0,0.058071935819803334,0.0017172144236217994,0.11896355045034121,0.009351404700446812,-0.007018880916698438,0.0513293598855195,0.02812193080333061,-0.015136558897790354,0.06589790262305253,0.026836456077519586,0.0909999566726953,0.00934193506751066,0.030089420916613156,-0.026836456077519586,0.04299326281016533,0.06513755311869575,-0.03376294929515012,-0.02952252801499776,0.07115358882650027,0.11264170970284519,0.07989537358100665,0.0470872693932297,0.12231936270717754,0.11888130966437671,-0.10369880852758391,-0.1001768257024712,0.058470837421824844,0.07610005553267508,0.11364586593133442,0.08942776186549298,0.12217333702327769,-0.027085764606894772,-0.12833643088245478
高血压病,0.0341558338229676,0.042877518407844366,0.097667581343586,0.15931530588011225,0.5155087392937135,0.14727808303506557,0.058071935819803334,1.0,0.1531228829486502,0.08036289169825958,-0.022132243419389946,0.02342149533758344,-0.04958026248940764,-0.03256166556699182,0.0011694145582490125,-0.06829076162838447,-0.06950772350004447,-0.018850603109534698,0.011840503095555633,0.060551603577297254,0.012240353823907202,-0.05681070791848112,-0.06327230796238384,-0.00048634589178759815,0.10633084381216344,0.042434248352802524,-0.03562802918134193,0.028544098316101624,-0.039317175420128705,0.04174110125483273,-0.006598094668020557,0.00645975320666613,0.07882857911912061,0.007986835465312137,0.008403758616148461,-0.02514124451978916,-0.03292030576297397,-0.06486742695636286,-0.014654111699247668,0.03576756232489242
糖尿病,0.12871928279342673,0.10282979096275499,0.0371659466970502,0.049037429910418,0.6606235252789441,-0.009213600138431742,0.0017172144236217994,0.1531228829486502,1.0,0.01861833028966542,-0.05944374273057884,0.040598103444654886,-0.020869496882564058,-0.08883229476018817,0.09475272139344265,-0.05373924650597815,-0.13795257377622536,0.08619828314882866,0.09781735615900933,0.09752958291536012,-0.12114114901496492,0.08269084540775797,0.015240060568980807,0.045893346005112856,0.05813068666771165,0.05058838728196645,-0.037705554795800914,0.00837901357455325,0.04813708583661093,-0.005813140427723406,0.04697705473370933,-0.03236829752285016,0.009321938725885943,0.005603496173926601,0.03608326482832764,-0.19209052038385016,-0.12432676628532557,-0.03990553808867416,0.18119722644994107,-0.17790004792295655
脑梗死,0.026679747028436784,0.038236171620751255,-0.00907645941034842,-0.029255595182907965,0.44112025424071644,0.026133397570896128,0.11896355045034121,0.08036289169825958,0.01861833028966542,1.0,0.04893745895087979,0.08512522327911819,0.04479696321275212,0.01660227700300901,0.11219110001575651,0.03103603779904585,-0.02329753183660545,-0.04142926267655051,0.00018375697724707128,0.04833878127600002,0.05351512263457886,0.10392875469605312,-0.07351548515663812,0.011218149870864615,-0.052551585157014476,0.07043382703396757,0.03913796914439361,0.07959520895300448,-0.05637347596314256,-0.05137952016679413,0.1808200903299626,-0.07564762021423885,-0.10972162540081135,-0.006303154375077975,0.010481099211485713,-0.022354277405326337,-0.0993132991108716,0.03767259263623865,0.05819425864543575,-0.027338428139777687
